厂商,类型,收入_百万美元,数据来源
阿里云,互联网云,3697.81,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 IaaS厂商"
华为云,互联网云,1829.52,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 IaaS厂商"
中国电信(天翼云),运营商云,1780.83,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 IaaS厂商"
中国移动(移动云),运营商云,1320.87,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 IaaS厂商"
腾讯云,互联网云,1117.29,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 IaaS厂商"
AWS,国际云,1066.30,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 IaaS厂商"
百度智能云,互联网云,521.43,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 IaaS厂商"
中国联通(联通云),运营商云,500.76,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 IaaS厂商"
微软Azure,国际云,499.10,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 IaaS厂商"
字节跳动(火山引擎),互联网云,485.82,"IDC《中国公有云服务市场跟踪研究,2025H1》Top10 IaaS厂商;首次进入前十"
