周期,厂商,份额_pct,市场总规模_亿元,数据来源
2024Q1,阿里云,25.8,,IDC《中国公有云服务市场(2024下半年)跟踪》
2024Q4,阿里云,26.2,,IDC《中国公有云服务市场(2024下半年)跟踪》
2024H2,阿里云,26.1,948.2,IDC《中国公有云服务市场(2024下半年)跟踪》
2024H2,华为云,,,排名第二，具体份额数字未在转述中给出
2024H2,中国电信(天翼云),,,排名第三，具体份额数字未在转述中给出
2024H2,中国移动(移动云),,,排名第四，具体份额数字未在转述中给出
2024H2,腾讯云,,,排名第五，具体份额数字未在转述中给出
2025H1,阿里云,26.4,1206.69,IDC《中国公有云服务市场(2025上半年)跟踪》
2025Q2,阿里云,26.8,,IDC《中国公有云服务市场(2025上半年)跟踪》，连续五个季度上涨
2025Q2,华为云,12.9,,IDC《中国公有云服务市场(2025上半年)跟踪》
2025Q2,天翼云,12.3,,IDC《中国公有云服务市场(2025上半年)跟踪》
2025Q2,移动云,9.4,,IDC《中国公有云服务市场(2025上半年)跟踪》
2025Q2,腾讯云,7.9,,IDC《中国公有云服务市场(2025上半年)跟踪》
